,avg_price,total_price,location,followInfo
480,41125.9,282.0,西湖,19.0
481,51483.3,538.0,西湖,4.0
482,53243,220.0,西湖,9.0
483,38175.9,293.0,西湖,6.0
484,41564.8,221.0,西湖,10.0
485,75614.8,658.0,西湖,23.0
486,39548,630.0,西湖,4.0
487,35955.1,320.0,西湖,32.0
488,29779.3,224.0,西湖,3.0
489,24719.1,220.0,西湖,7.0
490,51100.6,650.0,西湖,9.0
491,70832.7,450.0,西湖,27.0
492,37101.2,450.0,西湖,32.0
493,44817.9,240.0,西湖,6.0
494,79931.1,650.0,西湖,2.0
495,29669,268.0,西湖,19.0
496,68438.6,430.0,西湖,1.0
497,49613,1000.0,西湖,17.0
498,32850,290.0,西湖,14.0
499,44152.7,222.0,西湖,222.0
500,38530.3,345.0,西湖,32.0
501,53717.6,479.0,西湖,15.0
502,47727.6,670.0,西湖,8.0
503,29548,185.0,西湖,31.0
504,28260.9,390.0,西湖,6.0
505,53036.3,400.0,西湖,16.0
506,49624.5,370.0,西湖,107.0
507,42068.4,240.0,西湖,5.0
508,50189.4,530.0,西湖,25.0
509,34224.3,210.0,西湖,16.0
510,42693.7,265.0,西湖,44.0
511,66787,925.0,西湖,12.0
512,40134.5,358.0,西湖,27.0
513,18340.4,82.0,西湖,18.0
514,66199.4,850.0,西湖,62.0
515,58427,520.0,西湖,64.0
516,24058,83.0,西湖,5.0
517,21548.4,140.0,西湖,33.0
518,67419.1,1350.0,西湖,6.0
519,68020,449.0,西湖,1.0
520,28804.6,420.0,西湖,110.0
521,41504.8,470.0,西湖,66.0
522,40510.1,270.0,西湖,34.0
523,53650.1,280.0,西湖,26.0
524,49818,260.0,西湖,35.0
525,33053.2,295.0,西湖,8.0
526,60000,750.0,西湖,5.0
527,47546.9,910.0,西湖,91.0
528,32758.8,290.8,西湖,9.0
529,38088.2,310.0,西湖,4.0
530,37219.9,490.0,西湖,14.0
531,39170.5,340.0,西湖,25.0
532,28729.2,255.0,西湖,17.0
533,62090.8,550.0,西湖,8.0
534,35410.4,620.0,西湖,11.0
535,67804.3,600.0,西湖,25.0
536,36621.7,160.0,西湖,6.0
537,45203.4,900.0,西湖,6.0
538,72381.3,445.0,西湖,17.0
539,45746.7,306.0,西湖,54.0
540,46654.9,159.0,西湖,4.0
541,62706.3,1900.0,西湖,59.0
542,32084.4,286.0,西湖,67.0
543,41528.8,364.0,西湖,29.0
544,31645.6,190.0,西湖,6.0
545,67828.2,510.0,西湖,52.0
546,59947.3,455.0,西湖,16.0
547,34880.6,390.0,西湖,79.0
548,39298.7,260.0,西湖,6.0
549,82612.7,535.0,西湖,27.0
550,65952.8,425.0,西湖,34.0
551,57672.7,790.0,西湖,21.0
552,42709,140.0,西湖,3.0
553,74462.7,440.0,西湖,7.0
554,56060.3,580.0,西湖,5.0
555,49218.3,425.0,西湖,12.0
556,57174.9,510.0,西湖,10.0
557,45718.2,268.0,西湖,160.0
558,47353.8,425.0,西湖,10.0
559,33587.1,300.0,西湖,5.0
560,40016.8,475.0,西湖,3.0
561,41586.7,260.0,西湖,48.0
562,34579.3,210.0,西湖,6.0
563,52554.7,720.0,西湖,9.0
564,53932.6,480.0,西湖,30.0
565,25116.5,124.0,西湖,53.0
566,29268.3,1200.0,西湖,48.0
567,36730.9,240.0,西湖,35.0
568,41020.5,365.0,西湖,15.0
569,33064.5,205.0,西湖,2.0
570,52268.1,280.0,西湖,29.0
571,66539.9,350.0,西湖,72.0
572,46467.9,173.0,西湖,15.0
573,42285.9,350.0,西湖,16.0
574,36411.3,500.0,西湖,0.0
575,46905.5,360.0,西湖,0.0
576,42477.9,480.0,西湖,2.0
577,28895.5,270.0,西湖,76.0
578,56643.4,998.0,西湖,7.0
579,51344.7,420.0,西湖,2.0
580,43459.4,200.0,西湖,45.0
581,35556.3,225.0,西湖,47.0
582,27972,168.0,西湖,4.0
583,46457.8,642.0,西湖,7.0
584,70126.2,850.0,西湖,41.0
585,58509.5,285.0,西湖,56.0
586,50505.1,1000.0,西湖,17.0
587,20728.8,95.0,西湖,9.0
588,69459.1,330.0,西湖,15.0
589,38802.7,245.0,西湖,73.0
590,27892.3,115.0,西湖,3.0
591,49730.3,295.0,西湖,90.0
592,50137.4,365.0,西湖,30.0
593,31991,170.0,西湖,19.0
594,40392.4,350.0,西湖,2.0
595,41302.2,680.0,西湖,17.0
596,25035,286.0,西湖,24.0
597,46762.6,650.0,西湖,69.0
598,41234.8,370.0,西湖,11.0
599,30645.2,190.0,西湖,8.0
600,38603.2,325.0,西湖,108.0
601,40668.8,450.0,西湖,1.0
602,67968.8,950.0,西湖,20.0
603,52090.3,390.0,西湖,21.0
604,71551.7,830.0,西湖,13.0
605,43723.6,310.0,西湖,39.0
606,42809.5,295.0,西湖,51.0
607,41802.1,270.0,西湖,25.0
608,61600.5,535.0,西湖,7.0
609,50398.8,436.0,西湖,45.0
610,55240.2,253.0,西湖,8.0
611,38498.6,360.0,西湖,34.0
612,39825,355.0,西湖,17.0
613,28476,580.0,西湖,115.0
614,73955.7,1388.0,西湖,17.0
615,28192.1,155.0,西湖,43.0
616,53552.3,600.0,西湖,5.0
617,35616.4,260.0,西湖,11.0
618,53105.5,985.0,西湖,14.0
619,81068.7,2300.0,西湖,60.0
620,50273.2,598.0,西湖,63.0
621,45271.3,292.0,西湖,4.0
622,39006.6,278.0,西湖,22.0
623,33018.9,350.0,西湖,13.0
624,36133.9,655.0,西湖,24.0
625,34768.7,260.0,西湖,6.0
626,40271,630.0,西湖,1.0
627,44660.2,460.0,西湖,18.0
628,44361,260.0,西湖,65.0
629,45349.5,530.0,西湖,13.0
630,40480.5,155.0,西湖,14.0
631,53341,930.0,西湖,6.0
632,30050.9,260.0,西湖,8.0
633,45110.5,590.0,西湖,30.0
634,35752,305.0,西湖,88.0
635,41624.2,245.0,西湖,2.0
636,59059.8,1000.0,西湖,14.0
637,39274.4,210.0,西湖,93.0
638,43509.1,245.0,西湖,4.0
639,31176.5,265.0,西湖,46.0
640,23333.3,70.0,西湖,16.0
641,51604.5,595.0,西湖,59.0
642,38100.6,203.0,西湖,39.0
643,32414.9,200.0,西湖,10.0
644,58971.3,798.0,西湖,1.0
645,36950.2,268.0,西湖,77.0
646,42397.2,590.0,西湖,4.0
647,38856.9,310.0,西湖,34.0
648,60624.9,390.0,西湖,27.0
649,40369.1,210.0,西湖,13.0
650,50331.3,600.0,西湖,17.0
651,58862,720.0,西湖,11.0
652,52867.5,920.0,西湖,9.0
653,48387.1,360.0,西湖,1.0
654,47970,410.0,西湖,0.0
655,35826.2,320.0,西湖,32.0
656,39325.8,245.0,西湖,20.0
657,31325.3,520.0,西湖,11.0
658,53185.3,460.0,西湖,4.0
659,51676.7,638.0,西湖,10.0
660,40602,580.0,西湖,8.0
661,22843.1,130.0,西湖,9.0
662,40925.5,260.0,西湖,8.0
663,29522.7,180.0,西湖,5.0
664,43937.7,395.0,西湖,27.0
665,35955.1,320.0,西湖,3.0
666,36841.8,720.0,西湖,67.0
667,28560.5,525.0,西湖,21.0
668,59571.6,267.0,西湖,39.0
669,34523.8,290.0,西湖,6.0
670,38661.3,335.0,西湖,3.0
671,39604,800.0,西湖,31.0
672,51538.6,685.0,西湖,13.0
673,51867.2,1250.0,西湖,30.0
674,42775.2,328.0,西湖,19.0
675,41217.5,260.0,西湖,6.0
676,54395.5,310.0,西湖,14.0
677,48538.3,440.0,西湖,43.0
678,29968.8,375.0,西湖,40.0
679,66149.8,1220.0,西湖,27.0
680,43406,261.0,西湖,19.0
681,60674.2,540.0,西湖,41.0
682,40316.9,285.0,西湖,20.0
683,34794.2,470.0,西湖,30.0
684,48262.3,368.0,西湖,21.0
685,63551,1300.0,西湖,11.0
686,50979,440.0,西湖,33.0
687,54032.1,400.0,西湖,9.0
688,58427,520.0,西湖,42.0
689,32352.9,385.0,西湖,5.0
690,58992.8,820.0,西湖,51.0
691,54655.6,415.0,西湖,25.0
692,47058.8,252.0,西湖,9.0
693,41878.9,370.0,西湖,20.0
694,55922.2,466.0,西湖,34.0
695,33059.6,310.0,西湖,19.0
696,41568.1,369.0,西湖,24.0
697,43220.1,262.0,西湖,3.0
698,40769.2,265.0,西湖,9.0
699,48294.8,599.0,西湖,28.0
700,41405.6,370.0,西湖,13.0
701,35196.7,255.0,西湖,40.0
702,25703.3,180.0,西湖,25.0
703,20591.8,103.0,西湖,8.0
704,36248.3,320.0,西湖,3.0
705,63800.7,420.0,西湖,44.0
706,34965,280.0,西湖,10.0
707,41808.6,270.0,西湖,15.0
708,88165.8,485.0,西湖,2.0
709,21065,108.0,西湖,79.0
710,48454.1,420.0,西湖,5.0
711,40747.6,242.0,西湖,8.0
712,41399.5,368.0,西湖,68.0
713,52776.9,650.0,西湖,70.0
714,61860.3,550.0,西湖,12.0
715,48368.7,255.0,西湖,19.0
716,40117.9,245.0,西湖,11.0
717,49236.1,680.0,西湖,47.0
718,63860.7,880.0,西湖,2.0
719,38913,358.0,西湖,1.0
720,57692.3,195.0,西湖,9.0
721,48110.5,620.0,西湖,8.0
722,21647.6,108.0,西湖,9.0
723,38260.4,300.0,西湖,21.0
724,20928.7,480.0,西湖,74.0
725,47368.9,550.0,西湖,3.0
726,30879.2,190.0,西湖,74.0
727,53216.7,450.0,西湖,36.0
728,35650.4,239.0,西湖,63.0
729,51194.5,660.0,西湖,2.0
730,29516.1,183.0,西湖,3.0
731,67715.2,310.0,西湖,10.0
732,49668.9,750.0,西湖,19.0
733,37764.4,250.0,西湖,24.0
734,47522.1,630.0,西湖,7.0
735,42646.8,252.0,西湖,62.0
736,41152.3,200.0,西湖,194.0
737,38053.6,305.0,西湖,10.0
738,56209.4,320.0,西湖,15.0
739,36578.5,325.0,西湖,10.0
